cc;amount;year;month;product
FI;0;2017;08;crude
FR;1223;2017;08;crude
IE;0;2017;08;crude
IT;546;2017;08;crude
LT;0;2017;08;crude
MQ;0;2017;08;crude
NL;2901;2017;08;crude
PL;0;2017;08;crude
ES;1376;2017;08;crude
GB;6879;2017;08;crude
SE;783;2017;08;crude
DE;1898;2017;08;crude
US;1949;2017;08;crude
BS;0;2017;09;crude
BE;0;2017;09;crude
CA;756;2017;09;crude
DK;934;2017;09;crude
FI;622;2017;09;crude
FR;649;2017;09;crude
IE;600;2017;09;crude
IT;357;2017;09;crude
LT;327;2017;09;crude
MQ;0;2017;09;crude
NL;3516;2017;09;crude
PL;0;2017;09;crude
ES;0;2017;09;crude
GB;6541;2017;09;crude
SE;1435;2017;09;crude
DE;1213;2017;09;crude
US;0;2017;09;crude
BS;0;2017;10;crude
BE;0;2017;10;crude
CA;309;2017;10;crude
DK;323;2017;10;crude
FI;365;2017;10;crude
FR;1299;2017;10;crude
IE;911;2017;10;crude
IT;303;2017;10;crude
LT;0;2017;10;crude
MQ;0;2017;10;crude
NL;1786;2017;10;crude
PL;241;2017;10;crude
ES;462;2017;10;crude
GB;7309;2017;10;crude
SE;1020;2017;10;crude
DE;2646;2017;10;crude
US;589;2017;10;crude
BS;0;2017;11;crude
BE;0;2017;11;crude
CA;328;2017;11;crude
DK;824;2017;11;crude
FI;816;2017;11;crude
FR;785;2017;11;crude
IE;333;2017;11;crude
IT;0;2017;11;crude
LT;0;2017;11;crude
MQ;0;2017;11;crude
NL;2788;2017;11;crude
PL;0;2017;11;crude
ES;815;2017;11;crude
GB;8075;2017;11;crude
SE;861;2017;11;crude
DE;2891;2017;11;crude
US;287;2017;11;crude
BS;0;2017;12;crude
BE;0;2017;12;crude
CA;571;2017;12;crude
DK;1529;2017;12;crude
FI;849;2017;12;crude
FR;1466;2017;12;crude
IE;325;2017;12;crude
IT;0;2017;12;crude
LT;0;2017;12;crude
MQ;0;2017;12;crude
NL;4923;2017;12;crude
PL;0;2017;12;crude
ES;895;2017;12;crude
GB;7146;2017;12;crude
SE;754;2017;12;crude
DE;3657;2017;12;crude
US;0;2017;12;crude
BE;446;2018;01;crude
CA;565;2018;01;crude
DK;1488;2018;01;crude
FI;340;2018;01;crude
FR;691;2018;01;crude
ID;0;2018;01;crude
IE;0;2018;01;crude
IT;0;2018;01;crude
CN;0;2018;01;crude
HR;0;2018;01;crude
LT;0;2018;01;crude
MQ;0;2018;01;crude
NL;4711;2018;01;crude
PL;691;2018;01;crude
PT;0;2018;01;crude
ES;342;2018;01;crude
GB;6574;2018;01;crude
SE;842;2018;01;crude
DE;2650;2018;01;crude
UY;0;2018;01;crude
US;0;2018;01;crude
BE;418;2018;02;crude
CA;0;2018;02;crude
DK;1153;2018;02;crude
FI;413;2018;02;crude
FR;764;2018;02;crude
ID;0;2018;02;crude
IE;666;2018;02;crude
IT;0;2018;02;crude
CN;993;2018;02;crude
HR;0;2018;02;crude
LT;0;2018;02;crude
MQ;0;2018;02;crude
NL;4546;2018;02;crude
PL;0;2018;02;crude
PT;0;2018;02;crude
ES;318;2018;02;crude
GB;5187;2018;02;crude
SE;1305;2018;02;crude
DE;1805;2018;02;crude
UY;0;2018;02;crude
US;0;2018;02;crude
BE;0;2018;03;crude
CA;1059;2018;03;crude
DK;1095;2018;03;crude
FI;1198;2018;03;crude
FR;336;2018;03;crude
ID;0;2018;03;crude
IE;650;2018;03;crude
IT;0;2018;03;crude
CN;0;2018;03;crude
HR;0;2018;03;crude
LT;0;2018;03;crude
MQ;0;2018;03;crude
NL;3649;2018;03;crude
PL;0;2018;03;crude
PT;0;2018;03;crude
ES;327;2018;03;crude
GB;7281;2018;03;crude
SE;1332;2018;03;crude
DE;3519;2018;03;crude
UY;0;2018;03;crude
US;857;2018;03;crude
BE;467;2018;04;crude
CA;0;2018;04;crude
DK;1285;2018;04;crude
FI;0;2018;04;crude
FR;0;2018;04;crude
ID;365;2018;04;crude
IE;361;2018;04;crude
IT;0;2018;04;crude
CN;0;2018;04;crude
HR;0;2018;04;crude
LT;0;2018;04;crude
MQ;0;2018;04;crude
NL;3098;2018;04;crude
PL;753;2018;04;crude
PT;0;2018;04;crude
ES;0;2018;04;crude
GB;9973;2018;04;crude
SE;1567;2018;04;crude
DE;2979;2018;04;crude
UY;0;2018;04;crude
US;1407;2018;04;crude
BE;0;2018;05;crude
CA;652;2018;05;crude
DK;417;2018;05;crude
FI;530;2018;05;crude
FR;405;2018;05;crude
ID;0;2018;05;crude
IE;427;2018;05;crude
IT;1177;2018;05;crude
CN;0;2018;05;crude
HR;0;2018;05;crude
LT;0;2018;05;crude
MQ;382;2018;05;crude
NL;4617;2018;05;crude
PL;0;2018;05;crude
PT;0;2018;05;crude
ES;0;2018;05;crude
GB;11076;2018;05;crude
SE;1072;2018;05;crude
DE;1328;2018;05;crude
UY;667;2018;05;crude
US;0;2018;05;crude
BE;0;2018;06;crude
CA;0;2018;06;crude
DK;517;2018;06;crude
FI;0;2018;06;crude
FR;539;2018;06;crude
ID;0;2018;06;crude
IE;0;2018;06;crude
IT;388;2018;06;crude
CN;0;2018;06;crude
HR;0;2018;06;crude
LT;0;2018;06;crude
MQ;0;2018;06;crude
NL;6565;2018;06;crude
PL;372;2018;06;crude
PT;402;2018;06;crude
ES;376;2018;06;crude
GB;7785;2018;06;crude
SE;464;2018;06;crude
DE;2679;2018;06;crude
UY;0;2018;06;crude
US;2004;2018;06;crude
BE;0;2018;07;crude
CA;0;2018;07;crude
DK;1380;2018;07;crude
FI;395;2018;07;crude
FR;539;2018;07;crude
ID;0;2018;07;crude
IE;804;2018;07;crude
IT;398;2018;07;crude
CN;0;2018;07;crude
HR;414;2018;07;crude
LT;0;2018;07;crude
MQ;341;2018;07;crude
NL;5720;2018;07;crude
PL;0;2018;07;crude
PT;0;2018;07;crude
ES;809;2018;07;crude
GB;9796;2018;07;crude
